key,subject,assessment,periodStart,periodEnd,key:audit,mark,moreInfo,edited
audit-record-24,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","O","2004/04/24 08:00","2004/04/25 09:00",audit-12,FMinus,null,false
audit-record-25,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","P","2004/05/25 08:00","2004/05/26 09:00",audit-13,APlus,null,false
audit-record-26,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Q","2004/06/26 08:00","2004/06/27 09:00",audit-13,APlus,null,false
audit-record-27,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","R","2004/07/27 08:00","2004/07/28 09:00",audit-14,A,null,false
audit-record-28,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","S","2004/05/28 08:00","2004/05/29 09:00",audit-14,A,null,false
audit-record-29,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","T","2004/06/29 08:00","2004/06/30 09:00",audit-15,B,null,false
audit-record-30,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","U","2004/07/30 08:00","2004/07/31 09:00",audit-15,B,null,false
audit-record-31,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/08/31 08:00","2004/08/01 09:00",audit-16,C,null,false
audit-record-32,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/09/01 08:00","2004/09/02 09:00",audit-16,C,null,false
audit-record-33,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/10/02 08:00","2004/10/03 09:00",audit-17,F,null,false
audit-record-34,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/11/03 08:00","2004/11/04 09:00",audit-17,F,null,false
audit-record-35,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/12/04 08:00","2004/12/05 09:00",audit-18,FMinus,null,false
audit-record-36,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/01/05 08:00","2004/01/06 09:00",audit-18,FMinus,null,false
audit-record-37,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/02/06 08:00","2004/02/07 09:00",audit-19,APlus,null,false
audit-record-38,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/03/07 08:00","2004/03/08 09:00",audit-19,APlus,null,false
audit-record-39,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/04/08 08:00","2004/04/09 09:00",audit-20,A,null,false
audit-record-40,"Lorem ipsum dolor sit amets consectetur adipiscing elits Maecenas pharetras","Lorem ipsum dolor sit amets consectetur adipiscing elits Integer interdum urna antes euismod lectuss","2004/05/09 08:00","2004/05/10 09:00",audit-20,A,null,false
audit-record-41,"Lorem ipsum dolor sit amets consectetur porttitors","Lorem ipsum dolor sit amets consectetur porttitors","2000/03/01 08:00","2000/03/01 09:00",audit-21,B,"https://www.example.com",false
audit-record-42,"Lorem ipsum dolor sit amets consectetur porttitors","Lorem ipsum dolor sit amets consectetur porttitors","2000/04/02 08:00","2000/04/02 09:00",audit-21,B,"https://www.example.com",false
audit-record-43,"თხათხა Caracteres de un alfabeto distinto","Lorem ipsum dolor sit amets consectetur porttitors","2009/03/01 08:00","2009/03/01 09:00",audit-22,C,"https://www.example2.com",false
audit-record-44,"зазазазазаз Caracteres de otro alfabeto distintos","Lorem ipsum dolor sit amets consectetur porttitors","2009/04/02 08:00","2009/04/02 09:00",audit-22,C,"https://www.example2.com",false
